id,file_name,relative_path,folder,project_area,category,short_summary,what_this_file_controls,when_to_use_this_file,recommended_claude_instruction,importance,last_updated_from_git,related_code_files,related_docs
59,PROJECT_DECISIONS_HISTORY.md,docs/governance/PROJECT_DECISIONS_HISTORY.md,docs/governance,Governance,Rollback,היסטוריית החלטות ארכיטקטוראליות — source of truth,why decisions were made,לפני ביטול/שינוי החלטה ישנה,Read docs/governance/PROJECT_DECISIONS_HISTORY.md before reversing architectural decisions.,High,2026-06-11,,docs/governance/MASTER_PROJECT_BIBLE.md
60,SAVE_SYSTEM_ARCHITECTURE.md,docs/governance/SAVE_SYSTEM_ARCHITECTURE.md,docs/governance,Save System,Architecture,ארכיטקטורה של Save System — source of truth,כל זרימת השמירה בפרויקט,לפני שינוי save flow,Read docs/governance/SAVE_SYSTEM_ARCHITECTURE.md before changing any save flow.,High,2026-06-11,"src/hooks/useTabBulkSelection.js, src/components/shared/UniversalTabQuickSaveActions.jsx","docs/SPECIALIZED_OPPORTUNITY_SAVE_RULE.md, docs/UNIVERSAL_SECTION_SELECT_ALL_AND_EXPORT_RULE.md"
61,STOCK_ANALYSIS_SCREEN_BIBLE.md,docs/governance/STOCK_ANALYSIS_SCREEN_BIBLE.md,docs/governance,Stock Analysis,Architecture,Bible לStock Analysis screen — source of truth,Stock Analysis screen design + behavior,לפני שינוי stock analysis screen,Read docs/governance/STOCK_ANALYSIS_SCREEN_BIBLE.md before modifying stock analysis.,High,2026-06-11,src/pages/TopicPage.jsx,MARKET_DASHBOARD_UI_GUIDE.md
62,USER_PRODUCT_INTENT_AND_FUTURE_VISION.md,docs/governance/USER_PRODUCT_INTENT_AND_FUTURE_VISION.md,docs/governance,Vision,Architecture,"Product vision: goals, intent, future roadmap",long-term product direction,לפני הוספת feature חדש לוודא alignment,Read docs/governance/USER_PRODUCT_INTENT_AND_FUTURE_VISION.md before adding new features.,High,2026-06-11,,"SKILL.md, AI_DEVELOPMENT_GUIDE.md"
63,2026-07-01-finviz-ticker-links-calendar-dedup.md,docs/session-closures/2026-07-01-finviz-ticker-links-calendar-dedup.md,docs/session-closures,Session Records,Commit,Session closure: Finviz ticker links + economic calendar dedup,session record,reference בלבד,Review for Finviz implementation context from 2026-07-01.,Low,2026-07-01,src/lib/morningBriefPresentation.js,docs/WATCH_TODAY_FINVIZ_LINKS.md
64,2026-07-01-hebrew-market-status-labels.md,docs/session-closures/2026-07-01-hebrew-market-status-labels.md,docs/session-closures,Session Records,Commit,Session closure: Hebrew labels ב-Market Status table,session record,reference בלבד,Review for Hebrew labels context from 2026-07-01.,Low,2026-07-01,src/components/dashboard/MorningBriefMarketsTable.jsx,docs/HEBREW_FIRST_MARKET_STATUS_LABELS.md
65,note.md,e2e/.tmp-fallback-test/QA/fallback-test/note.md,e2e/.tmp-fallback-test,E2E Testing,QA,E2E QA artifact — fallback test note,e2e test artifact,בדיקת e2e בלבד,E2E test artifact — do not modify.,Low,,,
66,note.md,e2e/.tmp-fallback-test2/QA/fallback-test2/note.md,e2e/.tmp-fallback-test2,E2E Testing,QA,E2E QA artifact — fallback test2 note,e2e test artifact,בדיקת e2e בלבד,E2E test artifact — do not modify.,Low,,,
67,note.md,e2e/.tmp-fallback-test3/QA/fallback-test3/note.md,e2e/.tmp-fallback-test3,E2E Testing,QA,E2E QA artifact — fallback test3 note,e2e test artifact,בדיקת e2e בלבד,E2E test artifact — do not modify.,Low,,,
68,obsidian-merge-vault-qa.md,e2e/.tmp-merge-vault/QA/obsidian-merge-qa/obsidian-merge-vault-qa.md,e2e/.tmp-merge-vault,E2E Testing,QA,E2E QA artifact — Obsidian merge vault test,e2e test artifact,בדיקת e2e בלבד,E2E test artifact — do not modify.,Low,,,
69,proxy-test.md,e2e/.tmp-ui-row-merge-vault/QA/proxy-test.md,e2e/.tmp-ui-row-merge-vault,E2E Testing,QA,E2E QA artifact — UI row merge proxy test,e2e test artifact,בדיקת e2e בלבד,E2E test artifact — do not modify.,Low,,,
